公司标签,职位名称,公司名称,经纬度,jobid,薪资,城市,学历要求,经验要求,公司性质,行业,发布时间,薪资下限(k),薪资上限(k),平均薪资(k),省份,区域,详细地址,学历等级,经验年限
"['2024年专利授权量同比高速增长', '专精特新企业', '创新型中小企业', '拥有节能环保技术', '经营年限全国同行前10%', '绝对控股2家公司', '战略性新兴领域创新能力', '拥有发明专利', '技术布局行业领先', '拥有绿色低碳技术', '拥有工艺创新能力', '拥有绿色资质', '拥有自主品牌', '旗下品牌同行前5%', '大学生就业贡献']",助理硬件工程师,深圳市乐福衡器,"['22.788707', '114.296516']",169753506,200元/天,深圳市-龙岗区,本科,在校生/应届生,民营,电子技术/半导体/集成电路,1.76538E+12,4.4,4.4,4.4,广东省,龙岗区,广东省深圳市龙岗区坪地街道万维路,4,0
['大学生就业贡献'],硬件工程师助理,深圳市锦添盛科技,"['22.739132', '113.818248']",168753315,7.5-9千,深圳市-宝安区,本科,无需经验,民营,计算机软件,1.76104E+12,7.5,9,8.2,广东省,宝安区,广东省深圳市宝安区沙井街道觉园西路为明学校国际部,4,0
"['A股上市', '高新技术企业', '小巨人企业', '专精特新企业', '省级企业技术中心', '经营年限全国同行前5%', '绝对控股4家公司', '战略性新兴领域创新能力', '拥有节能环保技术', '拥有高价值专利', '专利授权量同领域前500', '技术布局行业领先', '拥有工艺创新能力', '拥有自主品牌', '大学生就业贡献']",系统工程师（深圳）,美芯晟科技（北京）,"['22.608906', '114.066183']",166229412,1.5-2.5万·15薪,深圳市-龙岗区,硕士,在校生/应届生,民营,电子技术/半导体/集成电路,1.76114E+12,12,20,16,广东省,龙岗区,广东省深圳市龙岗区坂田街道南顺路9号巨光电商园南坑园,5,0
"['创新型中小企业', '拥有高价值专利', '高新技术企业', '科技型中小企业', '经营年限全国同行前15%', 'A轮融资', '战略性新兴领域创新能力', '专利授权量同领域前5%', '技术布局行业领先', '拥有工艺创新能力', '拥有自主品牌']",硬件开发工程师,苏州迈瑞微电子,"['22.589934', '113.951873']",169694849,6千-1万,深圳市-南山区,大专,1年及以上,合资,电子技术/半导体/集成电路,1.76519E+12,6,10,8,广东省,南山区,广东省深圳市南山区西丽街道沙河西路深圳职业技术大学(西丽校区西丽湖园区),3,1
"['专利授权量同领域前500', '拥有绿色低碳技术', '国企供应商', '知名品牌供应商', '上市企业供应商', '2024年专利授权量同比高速增长', '创新型中小企业', '大学生就业贡献', '拥有节能环保技术', '拥有发明专利', 'A+轮融资', '绝对控股8家公司', '战略性新兴领域创新能力', '技术布局行业领先', '拥有工艺创新能力', '拥有自主品牌']",机器人交付部署实习生（深圳）,智元创新（上海）科技,"['31.139798', '121.613625']",168746907,240元/天,上海市-浦东新区,本科,在校生/应届生,民营,计算机硬件,1.76099E+12,5.3,5.3,5.3,上海市,浦东新区,上海市浦东新区康桥镇拯安路康城学校,4,0
"['旗下品牌同行前15%', '经营年限全国同行前20%', '创新型中小企业', '拥有节能环保技术', '高新技术企业', '科技型中小企业', '专精特新企业', '绝对控股1家公司', '战略性新兴领域创新能力', '拥有发明专利', '专利授权量同领域前10%', '技术布局行业领先', '拥有工艺创新能力', '拥有绿色资质', '拥有自主品牌', '大学生就业贡献']",助理软件工程师,深圳平晨半导体科技,"['22.639981', '114.105736']",146787744,8千-1.5万,深圳市-龙岗区,本科,1年,民营,机械/设备/重工,1.76712E+12,8,15,11.5,广东省,龙岗区,广东省深圳市龙岗区吉华街道秀峰路,4,1
"['经营年限全国同行前10%', '大学生就业贡献']",嵌入式 Linux 软件开发工程师（名扬时代）,深圳市诚安视科技,"['22.653484', '114.043558']",157439162,1.5-2.5万,深圳市-龙华区,本科,无需经验,民营,互联网/电子商务,1.76545E+12,15,25,20,广东省,龙华区,广东省深圳市龙华区龙华街道东源阁瓦窑排村,4,0
"['绝对控股1家公司', '高新技术企业', '双软认证企业', '经营年限全国同行前20%', '战略性新兴领域创新能力', '拥有发明专利', '专利授权量同领域前20%', '技术布局行业领先', '拥有自主品牌', '大学生就业贡献']",单片机开发工程师,深圳市领世达科技,"['22.681817', '113.816147']",161432170,6千-1.2万,深圳市-宝安区,本科,无需经验,民营,计算机服务(系统、数据服务、维修),1.76666E+12,6,12,9,广东省,宝安区,广东省深圳市宝安区福海街道立新水库立新湖公园,4,0
"['小巨人企业', '旗下品牌同行前20%', '专精特新企业', '拥有绿色资质', '拥有节能环保技术', '科技型中小企业', '经营年限全国同行前10%', '绝对控股1家公司', '战略性新兴领域创新能力', '拥有发明专利', '专利授权量同领域前10%', '技术布局行业领先', '拥有绿色低碳技术', '拥有工艺创新能力', '拥有自主品牌', '大学生就业贡献']",管培生（嵌入式软件）,深圳市昇润科技,"['22.694994', '114.305309']",168859458,4-8千,深圳市-龙岗区,本科,无需经验,外资（非欧美）,电子技术/半导体/集成电路,1.76132E+12,4,8,6,广东省,龙岗区,广东省深圳市龙岗区宝龙街道南同大道安达玩具,4,0
"['省级工程技术研究中心', '专精特新企业', '拥有节能环保技术', '国有企业', '上市企业子公司', '高新技术企业', '小巨人企业', '经营年限全国同行前10%', '并购融资', '战略性新兴领域创新能力', '拥有高价值专利', '专利授权量同领域前500', '技术布局行业领先', '拥有自主品牌', '大学生就业贡献']",嵌入式软件工程师（校招）,深圳市锐能微科技,"['22.547456', '113.952647']",158423869,2-3万·15薪,深圳市-南山区,硕士,在校生/应届生,国企,电子技术/半导体/集成电路,1.7602E+12,16,24,20,广东省,南山区,广东省深圳市南山区粤海街道文华路深圳南山外国语学校,5,0
