公司标签,职位名称,公司名称,经纬度,jobid,薪资,城市,学历要求,经验要求,公司性质,行业,发布时间,薪资下限(k),薪资上限(k),平均薪资(k),省份,区域,详细地址,学历等级,经验年限
"['拥有绿色低碳技术', '2024年专利授权量同比高速增长', 'A股上市', '发债企业', '高新技术企业', '专精特新企业', '经营年限全国同行前10%', '深创投投资', '绝对控股21家公司', '国家级政府引导基金投资', '战略性新兴领域创新能力', '拥有高价值专利', '专利授权量同领域前50', '技术布局行业领先', '拥有工艺创新能力', '拥有绿色资质', '拥有自主品牌', '旗下品牌同行前5%', '全国多家直营店', '大学生就业贡献']",嵌入式软件工程师,烟台睿创微纳技术,"['30.477874', '104.01381']",169963197,1.6-2.5万,成都,硕士,1年及以上,已上市,电子技术/半导体/集成电路,2025-12-23 20:50:56,16.0,25.0,20.5,四川省,双流区,四川省成都市双流区怡心街道怡腾路盛和资源控股股份有限公司,5.0,1.0
"['拥有高价值专利', '拥有绿色资质', '专精特新企业', '知名品牌供应商', '高新技术企业', '小巨人企业', '国企供应商', '经营年限全国同行前15%', 'C+轮融资', '绝对控股2家公司', '战略性新兴领域创新能力', '专利授权量同领域前100', '技术布局行业领先', '拥有自主品牌', '大学生就业贡献']",软件开发工程师（成都）,深圳市紫光同创电子,"['22.544052', '113.957034']",149190209,1.4-2.8万,深圳-南山区,本科,在校生/应届生,民营,电子技术/半导体/集成电路,2025-12-31 04:56:56,14.0,28.0,21.0,广东省,南山区,广东省深圳市南山区粤海街道来玩Prayer-X青年旅社大冲城市花园,4.0,0.0
[],数字工程师（成都）,中国航空无线电电子研究所,"['30.690852', '103.963028']",168009166,1-2万,成都-青羊区,硕士,在校生/应届生,事业单位,政府/公共事业,2025-12-30 04:38:11,10.0,20.0,15.0,四川省,青羊区,四川省成都市青羊区文家街道同诚路536号4康华社区,5.0,0.0
"['国企供应商', '拥有节能环保技术', '高新技术企业', '省级企业技术中心', '省级工程技术研究中心', '经营年限全国同行前15%', '绝对控股3家公司', '战略性新兴领域创新能力', '拥有高价值专利', '专利授权量同领域前500', '技术布局行业领先', '拥有工艺创新能力', '拥有绿色资质', '拥有自主品牌', '旗下品牌同行前40%', '大学生就业贡献']",软件开发工程师,昆山丘钛微电子科技,"['31.34106', '120.890399']",168561160,6千-1.2万,昆山,本科,在校生/应届生,已上市,电子技术/半导体/集成电路,2025-11-16 23:36:00,6.0,12.0,9.0,江苏省,昆山市,江苏省苏州市昆山市玉山镇景欣苑小区8栋,4.0,0.0
"['2023年营收同行前5%', '政府供应商', '经营年限全省同行前20%', '大学生就业贡献', '发债企业', '央企', '2025年中国跨国公司100强', '绝对控股6家公司', '战略性新兴领域创新能力', '拥有发明专利', '专利授权量同领域前5%', '技术布局行业领先', '拥有自主品牌']",C/Qt/C++工程师,中国信息通信科技集团,"['30.660779', '104.093178']",168155130,,成都,本科,在校生/应届生,国企,通信/电信/网络设备,2025-12-30 04:37:06,,,,四川省,成华区,四川省成都市成华区猛追湾街道新华大道双林路富临大厦,4.0,0.0
"['小巨人企业', '高新技术企业', '创新型中小企业', '专精特新企业', '经营年限全国同行前5%', 'B轮融资', '战略性新兴领域创新能力', '拥有高价值专利', '专利授权量同领域前10%', '技术布局行业领先', '拥有自主品牌', '大学生就业贡献']",软件算法设计工程师（地址：上海）（成都）,苏州顺芯半导体,"['31.186858', '121.43842']",167879482,2.2-2.8万,上海-徐汇区,硕士,在校生/应届生,民营,电子技术/半导体/集成电路,2025-12-30 09:05:20,22.0,28.0,25.0,上海市,徐汇区,上海市徐汇区徐家汇街道华谊兄弟时尚(上海)文化传媒有限公司上海电影广场,5.0,0.0
"['专精特新企业', '大学生就业贡献', '拥有发明专利', '上市企业供应商', '创新型中小企业', '港澳台投资企业', '科技型中小企业', '国企供应商', '绝对控股1家公司', '战略性新兴领域创新能力', '专利授权量同领域前20%', '技术布局行业领先', '拥有工艺创新能力', '拥有绿色资质']",嵌入式工程师,爱佩仪智能装备,"['30.566018', '104.194881']",169281300,1-1.5万,成都,本科,无需经验,外资（欧美）,仪器仪表/工业自动化,2025-12-16 10:08:09,10.0,15.0,12.5,四川省,龙泉驿区,四川省成都市龙泉驿区大面街道龙城大道中国电建·云立方,4.0,0.0
[],嵌入式硬件开发（工作地武汉）,中国船舶集团有限公司第七一〇研究所,"['30.391584', '114.346993']",168090581,1.5-1.6万,武汉-江夏区,硕士,在校生/应届生,事业单位,学术/科研,2025-12-08 17:56:17,15.0,16.0,15.5,湖北省,江夏区,湖北省武汉市江夏区江夏区经济开发区庙山街道汤孙湖旅游度假区,5.0,0.0
"['省级企业技术中心', '旗下品牌同行前5%', '专精特新企业', '拥有绿色低碳技术', '央企供应商', '国有企业', '知名品牌供应商', '央企子公司', '创新型中小企业', '政府供应商', '经营年限全国同行前5%', '战略性新兴领域创新能力', '拥有发明专利', '专利授权量同领域前5%', '技术布局行业领先', '拥有绿色资质', '拥有自主品牌', '全市多家直营店', '大学生就业贡献']",嵌入式软件工程师,成都天奥集团,"['0.000000', '0.000000']",167629242,1.2-2万,成都,硕士,在校生/应届生,国企,电子技术/半导体/集成电路,2025-11-12 10:15:00,12.0,20.0,16.0,四川省,成都市,四川省成都市营门口路278号天奥大厦F1层,5.0,0.0
"['小巨人企业', '高新技术企业', '创新型中小企业', '专精特新企业', '经营年限全国同行前5%', 'B轮融资', '战略性新兴领域创新能力', '拥有高价值专利', '专利授权量同领域前10%', '技术布局行业领先', '拥有自主品牌', '大学生就业贡献']",应用工程师（地点：深圳）（成都）,苏州顺芯半导体,"['22.539249', '113.960349']",161144015,1.4-1.9万,深圳-南山区,本科,在校生/应届生,民营,电子技术/半导体/集成电路,2025-12-30 09:05:13,14.0,19.0,16.5,广东省,南山区,广东省深圳市南山区沙河街道沙河高尔夫球会,4.0,0.0
