职位名称,公司名称,经纬度,jobid,薪资,城市,学历要求,经验要求,公司性质,行业,发布时间,薪资下限(k),薪资上限(k),平均薪资(k),纬度,经度,主城市,区县,学历等级,经验年限
硬件测试实习生,四川科达锐信息技术,"['30.565569', '104.281814']",168860985,4-6千,成都,本科,无需经验,民营,计算机软件,2025-11-17 16:51:19,5.0,7.0,6.0,30.565569,104.281814,成都,,4.0,0.0
电子工程师,成都睿工智能控制技术,"['30.679401', '104.072192']",168833369,5-7千,成都-青羊区,大专,无需经验,民营,建筑/建材/工程,2025-11-05 09:32:29,5.0,7.0,6.0,30.679401,104.072192,成都,青羊区,3.0,0.0
电子工程师,北京览鸿科技,"['30.621846', '104.074385']",150216864,8千-1.3万,成都,大专,无需经验,民营,计算机软件,2025-12-26 10:13:37,7.0,9.0,8.0,30.621846,104.074385,成都,,3.0,0.0
SOC软件工程师,成都市卓胜微电子,"['30.554107', '104.077616']",161923951,1.8-2万·15薪,成都-高新区,硕士,在校生/应届生,民营,计算机软件,2025-12-10 12:53:06,,,,30.554107,104.077616,成都,高新区,5.0,0.0
车机架构工程师,金琥新能源汽车（成都）,"['30.515545', '104.091761']",166677101,2-3万,成都-高新区,本科,在校生/应届生,民营,汽车,2025-12-10 11:02:21,,,,30.515545,104.091761,成都,高新区,4.0,0.0
硬件工程师,郑州多弥电子科技,"['30.662924', '104.076699']",165074701,8千-1.2万,成都-锦江区,大专,无需经验,民营,电子技术/半导体/集成电路,2025-12-26 10:24:09,4.0,6.0,5.0,30.662924,104.076699,成都,锦江区,3.0,0.0
硬件工程师,中国电子科技集团公司第十研究所,"['0.000000', '0.000000']",167577443,1.5-2万,成都,硕士,在校生/应届生,事业单位,电子技术/半导体/集成电路,2025-11-12 10:15:00,7.5,14.0,10.8,0.0,0.0,成都,,5.0,0.0
初级硬件工程师,成都奥瑞科电子科技,"['30.750947', '103.964777']",167936535,6-8千,成都-高新区,本科,1年,民营,电子技术/半导体/集成电路,2025-12-26 14:00:38,6.0,9.0,7.5,30.750947,103.964777,成都,高新区,4.0,1.0
软件开发工程师（GPU方向）,芯原微电子（成都）,"['30.554107', '104.077616']",162263648,1.8-2万·14薪,成都-高新区,硕士,在校生/应届生,民营,计算机软件,2025-12-10 12:52:39,6.0,8.0,7.0,30.554107,104.077616,成都,高新区,5.0,0.0
C语言开发工程师,四川科航锐科技,"['30.665568', '104.076985']",162493158,5-7千,成都-青羊区,大专,无需经验,民营,计算机软件,2025-12-26 09:50:22,8.0,16.0,12.0,30.665568,104.076985,成都,青羊区,3.0,0.0
