职位名称,公司名称,经纬度,jobid,薪资,城市,学历要求,经验要求,公司性质,行业,发布时间,薪资下限(k),薪资上限(k),平均薪资(k),纬度,经度,主城市,区县,学历等级,经验年限
初级C++开发,成都融御歆信息技术,"['30.547122', '104.06545']",167448721,5-7千,成都-高新区,本科,1年及以上,民营,计算机软件,2025-12-25 18:57:34,8.0,10.0,9.0,30.547122,104.06545,成都,高新区,4.0,1.0
Linux系统软件测试工程师,成都熊谷加世电器,"['30.764109', '103.916966']",167287409,15-20万/年,成都-郫都区,硕士,在校生/应届生,民营,机械/设备/重工,2025-12-25 15:33:15,4.0,4.5,4.2,30.764109,103.916966,成都,郫都区,5.0,0.0
高级研发工程师（西）,前锦网络信息技术（上海）有限公司CQCP直通车项目组,"['30.596007', '104.073231']",165480005,2-4万,成都-高新区,本科,1年及以上,已上市,专业服务(咨询、人力资源、财会),2025-12-01 13:30:46,200.0,300.0,250.0,30.596007,104.073231,成都,高新区,4.0,1.0
QT开发工程师,成都奎安科技,"['30.554107', '104.077616']",156081369,6-9千,成都-高新区,本科,1年,民营,计算机软件,2025-12-25 19:31:13,3.0,4.0,3.5,30.554107,104.077616,成都,高新区,4.0,1.0
电子工程师,重庆青案堂科技,"['30.645423', '104.047172']",170001904,6-9千,成都,,无需经验,民营,计算机软件,2025-12-25 20:29:36,7.0,10.0,8.5,30.645423,104.047172,成都,,,0.0
QT研发工程师,成都熊谷加世电器,"['30.764109', '103.916966']",151348362,10-15万/年,成都-郫都区,本科,1年及以上,民营,机械/设备/重工,2025-11-22 11:53:45,10.0,12.0,11.0,30.764109,103.916966,成都,郫都区,4.0,1.0
FPGA开发工程师（实习）,成都图迅科技,"['30.543264', '104.064812']",169987460,200元/天,成都-高新区,本科,在校生/应届生,民营,通信/电信/网络设备,2025-12-25 10:41:40,3.0,5.0,4.0,30.543264,104.064812,成都,高新区,4.0,0.0
电子工程师,成都安铭汇信息技术,"['30.645738', '104.110504']",162905180,9千-1.2万,成都-锦江区,大专,无需经验,民营,计算机软件,2025-11-24 11:38:53,10.0,15.0,12.5,30.645738,104.110504,成都,锦江区,3.0,0.0
电子工程师,成都至诚云连通信科技,"['30.685917', '104.150751']",164308995,4-8千,成都-成华区,大专,无需经验,民营,通信/电信/网络设备,2025-12-26 08:54:22,8.0,10.0,9.0,30.685917,104.150751,成都,成华区,3.0,0.0
硬件电子工程师,宜宾九博信息技术,"['30.586929', '104.083059']",164382160,6-8千,成都-武侯区,大专,1年,民营,电子技术/半导体/集成电路,2025-11-29 09:51:11,8.0,15.0,11.5,30.586929,104.083059,成都,武侯区,3.0,1.0
电子工程师,郑州如森信息科技,"['30.582795', '104.073597']",150877388,7.5千-1.1万,成都-高新区,大专,无需经验,民营,计算机软件,2025-09-15 08:42:03,7.0,12.0,9.5,30.582795,104.073597,成都,高新区,3.0,0.0
2026届硬件测试实习生（可转正）(J10420),成都新易盛通信技术,"['30.478667', '104.009857']",168753693,9-12万/年,成都-双流区,本科,在校生/应届生,已上市,通信/电信/网络设备,2025-12-01 14:51:28,8.0,15.0,11.5,30.478667,104.009857,成都,双流区,4.0,0.0
技术中心实习生-成都,世强先进（深圳）科技,"['30.791893', '103.851552']",168641751,130元/天,成都-郫都区,本科,在校生/应届生,民营,电子技术/半导体/集成电路,2025-10-15 16:17:49,12.0,20.0,16.0,30.791893,103.851552,成都,郫都区,4.0,0.0
硬件工程师实习岗位,宜宾九博信息技术,"['30.586929', '104.083059']",164121532,3-6千,成都-武侯区,大专,1年及以上,民营,电子技术/半导体/集成电路,2025-11-29 09:51:11,150.0,300.0,225.0,30.586929,104.083059,成都,武侯区,3.0,1.0
渗透测试工程师,四川科航锐科技,"['30.665568', '104.076985']",162493299,4-7千,成都-青羊区,大专,无需经验,民营,计算机软件,2025-12-26 09:50:22,15.0,25.0,20.0,30.665568,104.076985,成都,青羊区,3.0,0.0
硬件研发工程师,北京中泽精电科技,"['30.635394', '104.005818']",69350781,1-1.5万,成都,本科,无需经验,民营,仪器仪表/工业自动化,2025-11-28 08:59:53,,,,30.635394,104.005818,成都,,4.0,0.0
测试工程师,爱佩仪智能装备,"['30.566018', '104.194881']",155878101,5-8千,成都,本科,1年及以上,外资（欧美）,仪器仪表/工业自动化,2025-12-16 10:08:09,,,,30.566018,104.194881,成都,,4.0,1.0
软件实习生,四川金誉房地产土地资产评估,"['30.641885', '104.11408']",169896391,3千及以下,成都-锦江区,本科,无需经验,民营,房地产,2025-12-19 09:44:18,,,,30.641885,104.11408,成都,锦江区,4.0,0.0
物联网 嵌入式 单片机工程师,四川纳贝卓科技,"['30.600939', '104.069084']",165005930,6千-1.2万,成都-高新区,本科,无需经验,民营,计算机软件,2025-12-26 08:53:07,,,,30.600939,104.069084,成都,高新区,4.0,0.0
软件工程师,成都佳驰电子科技,"['30.786759', '103.847703']",166901045,1.2-2万,成都-郫都区,本科,在校生/应届生,民营,航天/航空,2025-12-26 13:15:11,,,,30.786759,103.847703,成都,郫都区,4.0,0.0
嵌入式软件工程师（linux）,成都蜀智云创科技,"['30.610781', '103.985947']",166695577,4-8千,成都-武侯区,大专,无需经验,民营,电子技术/半导体/集成电路,2025-12-26 14:33:57,,,,30.610781,103.985947,成都,武侯区,3.0,0.0
软件工程师,民航成都电子技术,"['30.362878', '103.897573']",168014340,8千-1.5万,成都,本科,无需经验,国企,电子技术/半导体/集成电路,2025-12-26 14:43:02,,,,30.362878,103.897573,成都,,4.0,0.0
单片机嵌入式开发,四川纳贝卓科技,"['30.600939', '104.069084']",163992584,4-8千,成都-高新区,本科,无需经验,民营,计算机软件,2025-12-26 08:53:06,,,,30.600939,104.069084,成都,高新区,4.0,0.0
软件工程师,成都博恩思医学机器人,"['30.5552', '104.077695']",166744746,150元/天,成都-高新区,本科,在校生/应届生,民营,医疗设备/器械,2025-12-08 16:11:06,,,,30.5552,104.077695,成都,高新区,4.0,0.0
电子工程师（FPGA/嵌入式实习）,成都蜀智云创科技,"['30.610781', '103.985947']",165403435,4-7千,成都-武侯区,大专,无需经验,民营,电子技术/半导体/集成电路,2025-12-26 14:33:58,,,,30.610781,103.985947,成都,武侯区,3.0,0.0
硬件工程师（应届生）,深圳万讯自控,"['30.576667', '104.067369']",151078671,1-1.5万,成都,硕士,在校生/应届生,已上市,仪器仪表/工业自动化,2025-12-06 16:02:08,,,,30.576667,104.067369,成都,,5.0,0.0
嵌入式Linux应用开发,四川纳贝卓科技,"['30.600939', '104.069084']",164516117,4-8千,成都-高新区,大专,无需经验,民营,计算机软件,2025-12-26 08:53:07,,,,30.600939,104.069084,成都,高新区,3.0,0.0
SoC芯片软件工程师-校招,江苏卓胜微电子,"['30.514937', '104.091037']",167128396,1.5-1.8万,成都,硕士,在校生/应届生,合资,电子技术/半导体/集成电路,2025-09-28 16:18:10,,,,30.514937,104.091037,成都,,5.0,0.0
电子技术研发工程师,成都伯格特钢琴自动演奏系统,"['30.678048', '103.970607']",152337894,7千-1.2万,成都-青羊区,本科,无需经验,外资（欧美）,电子技术/半导体/集成电路,2025-11-07 14:55:32,,,,30.678048,103.970607,成都,青羊区,4.0,0.0
软件开发工程师,明瑞电子（成都）,"['30.687965', '103.965681']",168547000,8千-1.4万·14薪,成都,本科,1年及以上,外资（非欧美）,通信/电信/网络设备,2025-11-18 11:14:38,,,,30.687965,103.965681,成都,,4.0,1.0
校招-测试工程师,成都国星通信,"['30.739093', '103.975585']",167724123,20-23万/年,成都,硕士,无需经验,已上市,通信/电信/网络设备,2025-12-18 09:46:01,,,,30.739093,103.975585,成都,,5.0,0.0
C++实习生,成都迪格天河科技,"['30.584419', '104.069771']",138917817,100元/天,成都-高新区,本科,在校生/应届生,民营,计算机软件,2025-12-10 10:49:02,,,,30.584419,104.069771,成都,高新区,4.0,0.0
软件/硬件工程师,成都美方力信科技,"['30.598415', '103.951114']",169267569,120元/天,成都-双流区,大专,无需经验,民营,批发/零售,2025-12-21 21:36:11,,,,30.598415,103.951114,成都,双流区,3.0,0.0
电子工程师,石家庄鸣迅信息技术,"['30.582084', '104.068342']",162663472,8千-1万·13薪,成都,大专,无需经验,民营,计算机软件,2025-11-25 01:33:42,,,,30.582084,104.068342,成都,,3.0,0.0
软件实习生,海目星激光科技集团,"['30.343704', '104.47378']",169622332,4-4.5千,成都-简阳市,本科,在校生/应届生,已上市,机械/设备/重工,2025-12-03 11:02:54,,,,30.343704,104.47378,成都,简阳市,4.0,0.0
C/C++开发工程师,兴业数字金融服务（上海）,"['30.564434', '104.079532']",161072986,20-30万/年,成都,本科,无需经验,合资,金融/投资/证券,2025-12-08 11:20:46,,,,30.564434,104.079532,成都,,4.0,0.0
软件测试工程师（实习生）,深圳库博能源,"['30.410441', '104.117638']",166654860,3-4千,成都-天府新区,本科,无需经验,民营,新能源,2025-12-19 10:46:08,,,,30.410441,104.117638,成都,天府新区,4.0,0.0
C++开发工程师,四川九强通信科技,"['30.641462', '104.030152']",163165776,7千-1万·13薪,成都-武侯区,大专,1年及以上,国企,通信/电信/网络设备,2025-11-13 15:37:58,,,,30.641462,104.030152,成都,武侯区,3.0,1.0
fpga工程师（2026届）,成都瑞迪威科技,"['30.506525', '104.093513']",166342134,1-1.2万,成都-高新区,本科,在校生/应届生,民营,电子技术/半导体/集成电路,2025-12-24 09:51:23,,,,30.506525,104.093513,成都,高新区,4.0,0.0
硬件工程师,成都迈硕电气,"['30.753068', '103.961291']",168627094,3-5千,成都-郫都区,本科,在校生/应届生,民营,电子技术/半导体/集成电路,2025-11-04 09:03:16,,,,30.753068,103.961291,成都,郫都区,4.0,0.0
项目经理,成都菁蓉联创科技,"['30.554107', '104.077616']",164493620,1-1.5万,成都-高新区,本科,在校生/应届生,民营,计算机软件,2025-12-10 11:02:37,,,,30.554107,104.077616,成都,高新区,4.0,0.0
硬件工程师,石家庄鸣迅信息技术,"['30.582084', '104.068342']",162662795,8千-1万·13薪,成都,本科,无需经验,民营,计算机软件,2025-11-25 01:34:06,,,,30.582084,104.068342,成都,,4.0,0.0
硬件工程师,民航成都电子技术,"['30.362878', '103.897573']",168014288,8千-1.5万,成都,本科,无需经验,国企,电子技术/半导体/集成电路,2025-12-26 14:43:02,,,,30.362878,103.897573,成都,,4.0,0.0
软件工程师,上海显光芯工业软件,"['30.760195', '103.927168']",158457602,7千-1.2万,成都-郫都区,大专,在校生/应届生,民营,计算机软件,2025-11-24 16:30:46,,,,30.760195,103.927168,成都,郫都区,3.0,0.0
电子工程师,成都吉锐时代触摸技术,"['30.619148', '104.036931']",162216944,8千-1.5万,成都-高新区,本科,1年,民营,电子技术/半导体/集成电路,2025-11-10 14:16:43,,,,30.619148,104.036931,成都,高新区,4.0,1.0
上位机软件工程师,北京中科航天人才服务,"['30.597539', '104.071718']",164515449,1.2-2万,成都-高新区,硕士,1年及以上,国企,航天/航空,2025-12-27 08:32:26,,,,30.597539,104.071718,成都,高新区,5.0,1.0
电机控制工程师,四川航天世源科技,"['30.500655', '104.495398']",160578620,15-30万/年,成都-简阳市,硕士,无需经验,民营,汽车,2025-11-24 15:25:39,,,,30.500655,104.495398,成都,简阳市,5.0,0.0
c++软件开发工程师,成都图迅科技,"['30.543264', '104.064812']",147344564,1.5-2.5万·13薪,成都-高新区,硕士,1年及以上,民营,通信/电信/网络设备,2025-11-03 10:03:40,,,,30.543264,104.064812,成都,高新区,5.0,1.0
